"cohort_count","person_years","gender","age_group","calendar_year","incidence_rate","cohort_id","database_id"
0,422.2861054072553,,"10-19",1950,0,1,"SUBSET_AURUM"
0,454.009582477755,,"10-19",1951,0,1,"SUBSET_AURUM"
0,506.34086242299793,,"10-19",1952,0,1,"SUBSET_AURUM"
0,564.9034907597536,,"10-19",1953,0,1,"SUBSET_AURUM"
0,618.527036276523,,"10-19",1954,0,1,"SUBSET_AURUM"
0,668.1533196440794,,"10-19",1955,0,1,"SUBSET_AURUM"
0,721.1471594798084,,"10-19",1956,0,1,"SUBSET_AURUM"
0,779.4661190965093,,"10-19",1957,0,1,"SUBSET_AURUM"
0,851.1211498973306,,"10-19",1958,0,1,"SUBSET_AURUM"
0,891.2607802874743,,"10-19",1959,0,1,"SUBSET_AURUM"
0,955.9753593429159,,"10-19",1960,0,1,"SUBSET_AURUM"
0,1022.8856947296372,,"10-19",1961,0,1,"SUBSET_AURUM"
0,1070.6255989048595,,"10-19",1962,0,1,"SUBSET_AURUM"
0,1134.943189596167,,"10-19",1963,0,1,"SUBSET_AURUM"
0,1195.441478439425,,"10-19",1964,0,1,"SUBSET_AURUM"
0,1278.5763175906914,,"10-19",1965,0,1,"SUBSET_AURUM"
0,1408.7364818617384,,"10-19",1966,0,1,"SUBSET_AURUM"
0,1525.0294318959616,,"10-19",1967,0,1,"SUBSET_AURUM"
0,1745.615331964408,,"10-19",1968,0,1,"SUBSET_AURUM"
0,1989.902806297057,,"10-19",1969,0,1,"SUBSET_AURUM"
0,2227.0171115674198,,"10-19",1970,0,1,"SUBSET_AURUM"
0,2549.366187542779,,"10-19",1971,0,1,"SUBSET_AURUM"
0,2900.6050650239563,,"10-19",1972,0,1,"SUBSET_AURUM"
0,3222.6885694729635,,"10-19",1973,0,1,"SUBSET_AURUM"
0,3614.841889117043,,"10-19",1974,0,1,"SUBSET_AURUM"
0,3982.6584531143053,,"10-19",1975,0,1,"SUBSET_AURUM"
0,4326.573579739904,,"10-19",1976,0,1,"SUBSET_AURUM"
0,4764.229979466119,,"10-19",1977,0,1,"SUBSET_AURUM"
0,5088.824093086927,,"10-19",1978,0,1,"SUBSET_AURUM"
0,5384.933607118412,,"10-19",1979,0,1,"SUBSET_AURUM"
0,5861.459274469542,,"10-19",1980,0,1,"SUBSET_AURUM"
0,6038.7761806981525,,"10-19",1981,0,1,"SUBSET_AURUM"
0,6300.648870636551,,"10-19",1982,0,1,"SUBSET_AURUM"
0,6397.483915126626,,"10-19",1983,0,1,"SUBSET_AURUM"
0,6484.605065023956,,"10-19",1984,0,1,"SUBSET_AURUM"
0,6563.748117727584,,"10-19",1985,0,1,"SUBSET_AURUM"
0,6821.702943189596,,"10-19",1986,0,1,"SUBSET_AURUM"
0,7058.726899383984,,"10-19",1987,0,1,"SUBSET_AURUM"
0,7307.304585900069,,"10-19",1988,0,1,"SUBSET_AURUM"
0,7720.054757015743,,"10-19",1989,0,1,"SUBSET_AURUM"
0,8153.839835728953,,"10-19",1990,0,1,"SUBSET_AURUM"
0,8663.581108829569,,"10-19",1991,0,1,"SUBSET_AURUM"
